Home,Home Points,Visitor,Visitor Points
Indiana Pacers,96,Charlotte Bobcats,88
Washington Wizards,93,Atlanta Hawks,83
Detroit Pistons,87,Utah Jazz,90
Philadelphia 76ers,107,Houston Rockets,100
Chicago Bulls,81,Phoenix Suns,97
Dallas Mavericks,104,Memphis Grizzlies,83
Sacramento Kings,99,Miami Heat,128
New York Knicks,100,New Orleans Hornets,87
Toronto Raptors,96,Milwaukee Bucks,107
Brooklyn Nets,97,Indiana Pacers,86
San Antonio Spurs,106,Minnesota Timberwolves,88
Denver Nuggets,116,Golden State Warriors,105
Portland Trail Blazers,83,Oklahoma City Thunder,87
Los Angeles Lakers,113,Cleveland Cavaliers,93
Washington Wizards,120,Orlando Magic,91
Boston Celtics,100,Charlotte Bobcats,89
Chicago Bulls,97,Atlanta Hawks,58
Memphis Grizzlies,73,Los Angeles Clippers,99
Dallas Mavericks,113,Minnesota Timberwolves,98
Phoenix Suns,90,Oklahoma City Thunder,102
Utah Jazz,104,Miami Heat,97
Sacramento Kings,124,Cleveland Cavaliers,118
Charlotte Bobcats,76,Indiana Pacers,103
Philadelphia 76ers,99,New Orleans Hornets,111
Brooklyn Nets,113,Toronto Raptors,106
Houston Rockets,109,Los Angeles Clippers,117
Denver Nuggets,115,Portland Trail Blazers,111
Los Angeles Lakers,104,Milwaukee Bucks,88
Orlando Magic,97,Indiana Pacers,86
Toronto Raptors,105,Chicago Bulls,107
Atlanta Hawks,109,Brooklyn Nets,95
Boston Celtics,78,New Orleans Hornets,90
Dallas Mavericks,105,Houston Rockets,100
Oklahoma City Thunder,117,Denver Nuggets,97
San Antonio Spurs,103,Memphis Grizzlies,82
Portland Trail Blazers,88,Cleveland Cavaliers,93
Sacramento Kings,95,Washington Wizards,94
Golden State Warriors,75,Miami Heat,92
Detroit Pistons,87,New York Knicks,102
Minnesota Timberwolves,77,Los Angeles Clippers,90
Phoenix Suns,94,Milwaukee Bucks,98
Los Angeles Lakers,90,Miami Heat,99
Boston Celtics,99,Chicago Bulls,100
Indiana Pacers,105,Houston Rockets,95
Orlando Magic,100,Charlotte Bobcats,106
Philadelphia 76ers,108,Toronto Raptors,101
Brooklyn Nets,94,Atlanta Hawks,89
Memphis Grizzlies,85,Sacramento Kings,69
San Antonio Spurs,95,Golden State Warriors,88
Denver Nuggets,108,Washington Wizards,112
Dallas Mavericks,114,Oklahoma City Thunder,117
Atlanta Hawks,93,San Antonio Spurs,98
Charlotte Bobcats,93,Sacramento Kings,97
Chicago Bulls,82,Memphis Grizzlies,85
Minnesota Timberwolves,92,Houston Rockets,79
New Orleans Hornets,112,Golden State Warriors,116
Utah Jazz,109,Cleveland Cavaliers,98
